dataset,seed,harp_elapsed_sec,harp_esep_elapsed_sec,selected_model,selected_esep,two_expert_elapsed_sec,selected_branch_elapsed_sec,overhead_vs_harp,esep_cost_share
texas,1,5.238847494125366,0.6401779651641846,harp,False,5.879025459289551,5.238847494125366,1.1221982441523741,0.10889185114050291
texas,2,5.715268850326538,0.5137748718261719,harp,False,6.22904372215271,5.715268850326538,1.0898951362186255,0.08248053710058327
texas,3,3.231081485748291,1.364423751831055,harp,False,4.595505237579346,3.231081485748291,1.4222808238818112,0.2969039705740292
texas,4,3.331944942474365,1.5320250988006592,harp,False,4.863970041275024,3.331944942474365,1.4597990438770423,0.31497420539191057
texas,5,4.346060276031494,1.5060632228851318,harp,False,5.852123498916626,4.346060276031494,1.346535281894516,0.25735328777048905
texas,6,2.372913360595703,0.4833066463470459,harp,False,2.856220006942749,2.372913360595703,1.2036764824088289,0.16921198128024087
texas,7,2.365821361541748,2.0439069271087646,harp,False,4.409728288650513,2.365821361541748,1.8639312165888977,0.46349951591558297
texas,8,5.455275535583496,0.6936061382293701,harp,False,6.148881673812866,5.455275535583496,1.1271441073333763,0.11280199799311981
texas,9,3.747047185897827,1.8357651233673096,harp,False,5.582812309265137,3.747047185897827,1.48992314008649,0.32882443859355726
wisconsin,0,6.082817316055298,1.991127014160156,harp,False,8.073944330215454,6.082817316055298,1.3273363164967447,0.24661143707774644
wisconsin,1,5.430603265762329,0.678123950958252,harp,False,6.108727216720581,5.430603265762329,1.12487083253412,0.11100904114724852
wisconsin,2,4.169417858123779,0.8687279224395752,harp,False,5.0381457805633545,4.169417858123779,1.2083571261026111,0.1724300884248006
wisconsin,3,5.19080924987793,2.4803926944732666,harp,False,7.671201944351196,5.19080924987793,1.4778431599141497,0.3233382085971209
wisconsin,4,8.198011636734009,0.8217422962188721,harp,False,9.01975393295288,8.198011636734009,1.100236780896574,0.09110473548693036
wisconsin,5,5.131664991378784,0.7649812698364258,harp,False,5.89664626121521,5.131664991378784,1.1490707735445702,0.12973158570966653
wisconsin,6,4.942353010177612,1.7878165245056152,harp,False,6.7301695346832275,4.942353010177612,1.3617338787464246,0.26564212317272085
wisconsin,7,6.441972255706787,2.618914842605591,harp,False,9.060887098312378,6.441972255706787,1.4065392924170945,0.28903514790437823
wisconsin,8,5.706087112426758,0.5664286613464355,harp,False,6.272515773773193,5.706087112426758,1.0992674402241185,0.090303266149573
wisconsin,9,4.542364835739136,1.3264212608337402,harp,False,5.868786096572876,4.542364835739136,1.2920111679267843,0.22601288222249477
