dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights,diag_gate_mean,diag_gate_std,diag_gate_q25,diag_gate_median,diag_gate_q75,diag_gate_gt_0_5,diag_gate_min,diag_gate_max,diag_gate_features,diag_structure_norm,diag_ego_norm,diag_residual_norm,diag_selector_mean,diag_selector_std,diag_selector_q25,diag_selector_median,diag_selector_q75,diag_selector_gt_0_5,diag_selector_features,diag_adaptive_hidden_norm,diag_esep_minus_self_norm,diag_blend_weight,diag_self_logit_norm,diag_esep_logit_norm,diag_logit_gap_norm
squirrel,harp,0,0.7003205418586731,0.3575721085071563,0.3794428408145904,0.8938772678375244,1.5234647989273071,1.4888767004013062,22,50.63905096054077,geom_gcn,squirrel,0,True,5201,198353,0.2221342757608909,"{'low': [0.3342219591140747, 0.22438883781433105, 0.22168339788913727, 0.21970584988594055], 'high': [0.4252361059188843, 0.28600066900253296, 0.28876328468322754]}",0.3154328167438507,0.175968199968338,0.2104582339525222,0.2412391901016235,0.3579696416854858,0.1338023990392685,0.0107967117801308,0.9999706745147704,64.0,,,,,,,,,,,,,,,,
squirrel,harp_x,0,0.7596153616905212,0.3810096085071563,0.3852065205574035,0.7000031471252441,1.6094977855682373,1.5458866357803345,12,58.9921338558197,geom_gcn,squirrel,0,True,5201,198353,0.2221342757608909,"{'low': [0.2901885211467743, 0.2394179403781891, 0.23710104823112488, 0.2332925647497177], 'high': [0.37062162160873413, 0.3114437162876129, 0.31793466210365295]}",0.2330983430147171,0.0610548369586467,0.2009412944316864,0.2123963832855224,0.2417511940002441,0.0097727598622441,0.0882541239261627,0.9202176332473756,64.0,,,,,,,,,,,,,,,,
squirrel,linkx,1,0.9963942170143129,0.4405048191547394,0.4649375677108764,0.0478498041629791,1.733862042427063,1.6714015007019043,117,39.10704255104065,geom_gcn,squirrel,1,True,5201,198353,0.2221342757608909,,,,,,,,,,,,,,,,,,,,,,,,,,
squirrel,h2gcn,1,0.9487179517745972,0.4591346085071563,0.4514889419078827,0.3206898868083954,1.3589282035827637,1.3320294618606567,123,105.86206221580504,geom_gcn,squirrel,1,True,5201,198353,0.2221342757608909,,,,,,,,,,,,,,,,,,,,,,,,,,
squirrel,harp,1,0.7692307829856873,0.3689903914928436,0.3631123900413513,0.7169312834739685,1.7415540218353271,1.720464825630188,25,81.10705161094666,geom_gcn,squirrel,1,True,5201,198353,0.2221342757608909,"{'low': [0.333173006772995, 0.21810530126094818, 0.2254236340522766, 0.22329804301261902], 'high': [0.44768908619880676, 0.2727518379688263, 0.2795591652393341]}",0.4618943333625793,0.2810319364070892,0.2215014696121215,0.3418478071689605,0.6860141754150391,0.3602942824363708,0.0262957327067852,1.0,64.0,,,,,,,,,,,,,,,,
squirrel,harp_x,1,0.7335737347602844,0.4020432829856872,0.3967339098453522,0.8062164187431335,1.4516907930374146,1.482978343963623,12,88.26531147956848,geom_gcn,squirrel,1,True,5201,198353,0.2221342757608909,"{'low': [0.2837851643562317, 0.2391732633113861, 0.23864759504795074, 0.2383939027786255], 'high': [0.38569873571395874, 0.30830031633377075, 0.30600103735923767]}",0.2361627519130706,0.0736678317189216,0.2005719393491745,0.2073733955621719,0.2417377233505249,0.0169859156012535,0.0987895205616951,0.9746351838111876,64.0,,,,,,,,,,,,,,,,
texas,harp_sgate,0,1.0,0.9322034120559692,0.8918918967247009,0.0002428729785606,0.4161403477191925,0.496549904346466,131,0.9749586582183838,geom_gcn,texas,0,True,183,279,0.060931899641577,"{'low': [0.3184768259525299, 0.24912333488464355, 0.21401114761829376, 0.21838870644569397], 'high': [0.46023622155189514, 0.2738238573074341, 0.2659399211406708]}",0.7983430027961731,0.2724005281925201,0.6891785860061646,0.9391201734542848,0.9915838241577148,0.8251366019248962,1.1875141581185744e-06,1.0,64.0,0.0017057484947144,,,,,,,,,,,,,,,
texas,harp_sgate,1,1.0,0.9322034120559692,0.837837815284729,0.0008161315345205,0.6103794574737549,0.849230170249939,44,1.02732515335083,geom_gcn,texas,1,True,183,279,0.060931899641577,"{'low': [0.3098585307598114, 0.26795580983161926, 0.20812495052814484, 0.2140607088804245], 'high': [0.4858240783214569, 0.2616958022117615, 0.2524801790714264]}",0.6509688496589661,0.3714372813701629,0.2570189237594604,0.852353572845459,0.9992550611495972,0.6132172346115112,1.5635370602395948e-12,1.0,64.0,0.0683477818965911,,,,,,,,,,,,,,,
wisconsin,harp_sgate,0,1.0,0.824999988079071,0.7843137383460999,0.0239392612129449,0.6882113218307495,0.9130006432533264,16,1.2129757404327393,geom_gcn,wisconsin,0,True,251,450,0.1777777777777777,"{'low': [0.2870001196861267, 0.22905448079109192, 0.24344675242900848, 0.2404986470937729], 'high': [0.3895402252674103, 0.3097480237483978, 0.3007117211818695]}",0.7390502691268921,0.3489825427532196,0.429464191198349,0.9713891744613647,0.999793529510498,0.730079710483551,4.331701345967871e-17,1.0,64.0,0.3585963249206543,,,,,,,,,,,,,,,
wisconsin,harp_sgate,1,1.0,0.824999988079071,0.8627451062202454,0.0003962597693316,1.1764261722564695,0.5567395687103271,61,1.8259410858154297,geom_gcn,wisconsin,1,True,251,450,0.1777777777777777,"{'low': [0.3213813900947571, 0.2308056801557541, 0.22479099035263062, 0.22302193939685822], 'high': [0.4284519851207733, 0.29452016949653625, 0.2770278751850128]}",0.7193005681037903,0.3266840279102325,0.4493868947029114,0.8949786424636841,0.993876338005066,0.7286478877067566,6.207307023942121e-07,1.0,64.0,0.0395417027175426,,,,,,,,,,,,,,,
