dataset,seed,val_size,selector_z,harp_val_acc,esep_val_acc,val_diff,val_diff_standard_error,selection_threshold,selected_model,selected_esep,harp_test_acc,esep_test_acc,test_acc,oracle_test_acc,oracle_regret
texas,1,59,1.96,0.9152542352676392,0.7627118825912476,-0.1525423526763916,0.06619775033783769,0.12974759066216188,harp,False,0.837837815284729,0.7567567825317383,0.837837815284729,0.837837815284729,0.0
texas,2,59,1.96,0.9322034120559692,0.7796609997749329,-0.15254241228103638,0.0631100647123822,0.12369572683626912,harp,False,0.8108108043670654,0.7567567825317383,0.8108108043670654,0.8108108043670654,0.0
texas,3,59,1.96,0.8983050584793091,0.8983050584793091,0.0,0.05564813194964004,0.10907033862129446,harp,False,0.8918918967247009,0.7297297120094299,0.8918918967247009,0.8918918967247009,0.0
texas,4,59,1.96,0.9491525292396544,0.8813559412956238,-0.06779658794403065,0.050895314878139,0.09975481716115245,harp,False,0.9189189076423644,0.7567567825317383,0.9189189076423644,0.9189189076423644,0.0
texas,5,59,1.96,0.9491525292396544,0.8474576473236084,-0.10169488191604603,0.054854999740295965,0.10751579949098009,harp,False,0.837837815284729,0.7297297120094299,0.837837815284729,0.837837815284729,0.0
texas,6,59,1.96,0.8644067645072937,0.8474576473236084,-0.016949117183685303,0.06463468309880169,0.1266839788736513,harp,False,0.9189189076423644,0.6756756901741028,0.9189189076423644,0.9189189076423644,0.0
texas,7,59,1.96,0.8644067645072937,0.8983050584793091,0.03389829397201538,0.05945526595986234,0.11653232128133019,harp,False,0.7837837934494019,0.7837837934494019,0.7837837934494019,0.7837837934494019,0.0
texas,8,59,1.96,0.9322034120559692,0.8474576473236084,-0.08474576473236084,0.05711620535327941,0.11194776249242763,harp,False,0.8648648858070374,0.7297297120094299,0.8648648858070374,0.8648648858070374,0.0
texas,9,59,1.96,0.8644067645072937,0.8305084705352783,-0.03389829397201538,0.06612415913864228,0.12960335191173886,harp,False,0.8918918967247009,0.8648648858070374,0.8918918967247009,0.8918918967247009,0.0
wisconsin,0,80,1.96,0.887499988079071,0.8999999761581421,0.012499988079071045,0.0487139325953322,0.09547930788685112,harp,False,0.8235294222831726,0.7254902124404907,0.8235294222831726,0.8235294222831726,0.0
wisconsin,1,80,1.96,0.8500000238418579,0.8125,-0.03750002384185791,0.05914428684483173,0.11592280221587019,harp,False,0.8627451062202454,0.8235294222831726,0.8627451062202454,0.8627451062202454,0.0
wisconsin,2,80,1.96,0.8999999761581421,0.8374999761581421,-0.0625,0.053161756127730025,0.10419704201035085,harp,False,0.8627451062202454,0.7843137383460999,0.8627451062202454,0.8627451062202454,0.0
wisconsin,3,80,1.96,0.887499988079071,0.8374999761581421,-0.050000011920928955,0.05430671290595359,0.10644115729566904,harp,False,0.9411764740943908,0.843137264251709,0.9411764740943908,0.9411764740943908,0.0
wisconsin,4,80,1.96,0.8374999761581421,0.762499988079071,-0.07499998807907104,0.06296700746737742,0.12341533463605973,harp,False,0.8823529481887817,0.8235294222831726,0.8823529481887817,0.8823529481887817,0.0
wisconsin,5,80,1.96,0.862500011920929,0.8374999761581421,-0.025000035762786865,0.05642334484176074,0.11058975588985104,harp,False,0.843137264251709,0.8039215803146362,0.843137264251709,0.843137264251709,0.0
wisconsin,6,80,1.96,0.875,0.862500011920929,-0.012499988079071045,0.05338173158456533,0.10462819390574804,harp,False,0.8823529481887817,0.843137264251709,0.8823529481887817,0.8823529481887817,0.0
wisconsin,7,80,1.96,0.912500023841858,0.912500023841858,0.0,0.044677659498474895,0.0875682126170108,harp,False,0.8823529481887817,0.843137264251709,0.8823529481887817,0.8823529481887817,0.0
wisconsin,8,80,1.96,0.887499988079071,0.8999999761581421,0.012499988079071045,0.0487139325953322,0.09547930788685112,harp,False,0.8627451062202454,0.8235294222831726,0.8627451062202454,0.8627451062202454,0.0
wisconsin,9,80,1.96,0.887499988079071,0.875,-0.012499988079071045,0.051139363414927225,0.10023315229325735,harp,False,0.901960790157318,0.901960790157318,0.901960790157318,0.901960790157318,0.0
