dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights,diag_gate_mean,diag_gate_std,diag_gate_q25,diag_gate_median,diag_gate_q75,diag_gate_gt_0_5,diag_gate_min,diag_gate_max,diag_gate_features,selector_z,selector_val_size,selector_val_diff,selector_standard_error,selector_threshold,selector_selected_model,selector_oracle_regret,diag_ego_norm,diag_residual_norm
chameleon,harp_select,5,0.9972527623176576,0.6296296119689941,0.625,0.0116898529231548,1.7000129222869873,1.6707298755645752,243,28.47986149787903,geom_gcn,chameleon,5,True,2277,31371,0.2299257275827994,"{'low': [0.14120446145534515, 0.41788962483406067, 0.4409058690071106], 'high': [0.07393047213554382, 0.9260694980621338]}",0.4277177155017853,0.187438353896141,0.2945135831832886,0.4017556011676788,0.547873318195343,0.3253252506256103,0.0003696694038808,0.9993958473205566,64.0,1.96,729,0.06584358215332031,0.02563668031098789,0.05024789340953626,harp_esep,0.0,1.420016527175903,0.4995805621147156
chameleon,harp_select,6,0.9990842342376708,0.6694101691246033,0.6425438523292542,0.0078035658225417,1.5526020526885986,1.6050094366073608,231,28.5991325378418,geom_gcn,chameleon,6,True,2277,31371,0.2299257275827994,"{'low': [0.1074281632900238, 0.5242153406143188, 0.36835649609565735], 'high': [0.07110989838838577, 0.9288901090621948]}",0.3985279500484466,0.1609753221273422,0.3026819229125976,0.3748232722282409,0.4766349196434021,0.2114555835723877,0.0048907683230936,0.9978481531143188,64.0,1.96,729,0.07956105470657349,0.025207705923164386,0.049407103609402196,harp_esep,0.0,1.4261542558670044,0.505670964717865
chameleon,harp_select,7,0.9981684684753418,0.6268861293792725,0.5986841917037964,0.0123946396633982,1.819353461265564,1.8283188343048096,145,23.41795825958252,geom_gcn,chameleon,7,True,2277,31371,0.2299257275827994,"{'low': [0.13584297895431519, 0.46999046206474304, 0.3941665291786194], 'high': [0.1147022694349289, 0.8852976560592651]}",0.3877717852592468,0.1712144166231155,0.2710345983505249,0.3678026795387268,0.4753752946853637,0.215401291847229,0.0017891754396259,0.9994959831237792,64.0,1.96,729,0.07956105470657349,0.025704350709072444,0.050380527389781986,harp_esep,0.0,1.4189229011535645,0.5172439217567444
chameleon,harp_select,8,0.9945054650306702,0.6680384278297424,0.6359649300575256,0.0177820511162281,1.5314010381698608,1.70022451877594,233,29.579089403152462,geom_gcn,chameleon,8,True,2277,31371,0.2299257275827994,"{'low': [0.10459234565496445, 0.357443243265152, 0.5379643440246582], 'high': [0.0791841372847557, 0.9208158850669861]}",0.418549507856369,0.1610692739486694,0.3029315173625946,0.4072750210762024,0.5180038809776306,0.2857378125190735,0.0032442964147776,0.9994840621948242,64.0,1.96,729,0.09327846765518188,0.025287755055165537,0.049563999908124455,harp_esep,0.0,1.406357765197754,0.4673087298870086
chameleon,harp_select,9,0.9981684684753418,0.6488339900970459,0.6162280440330505,0.0114543214440345,1.6205781698226929,1.6430813074111938,212,28.874261379241943,geom_gcn,chameleon,9,True,2277,31371,0.2299257275827994,"{'low': [0.12346667796373367, 0.47590672969818115, 0.40062665939331055], 'high': [0.09192278236150742, 0.9080771803855896]}",0.3962217569351196,0.1643150746822357,0.2925802171230316,0.3730376958847046,0.4838725924491882,0.2203694581985473,0.0015556885628029,0.9990782737731934,64.0,1.96,729,0.09053492546081543,0.025511224632343378,0.05000200027939302,harp_esep,0.0,1.449279546737671,0.5246585607528687
cornell,harp_select,0,1.0,0.8644067645072937,0.7297297120094299,0.0018536874558776,0.6126000285148621,1.049478530883789,27,2.6104652881622314,geom_gcn,cornell,0,True,183,277,0.1227436823104693,"{'low': [0.31775999069213867, 0.2363835871219635, 0.22258473932743073, 0.2232717126607895], 'high': [0.4284387230873108, 0.28756001591682434, 0.28400126099586487]}",0.6908884644508362,0.3334243893623352,0.3766798377037048,0.8541698455810547,0.9839528799057008,0.6997097134590149,1.953238921714729e-07,1.0,64.0,1.96,59,-0.016949117183685303,0.06463468309880169,0.1266839788736513,harp,0.054054081439971924,,
cornell,harp_select,1,1.0,0.7627118825912476,0.7567567825317383,0.0093661323189735,1.2602097988128662,0.9003584384918213,23,2.588536739349365,geom_gcn,cornell,1,True,183,277,0.1227436823104693,"{'low': [0.3108677268028259, 0.23626478016376495, 0.22343572974205017, 0.2294316589832306], 'high': [0.42932772636413574, 0.2857677638530731, 0.28490447998046875]}",0.750266432762146,0.3354873955249786,0.5077190399169922,0.9589816927909852,0.9981522560119628,0.7518784403800964,5.608224091702141e-05,1.0,64.0,1.96,59,-0.03389829397201538,0.08010869823151745,0.1570130485337742,harp,0.0,,
cornell,harp_select,2,1.0,0.7627118825912476,0.837837815284729,0.0002673623384907,1.3509186506271362,0.9905086159706116,94,4.922499418258667,geom_gcn,cornell,2,True,183,277,0.1227436823104693,"{'low': [0.3030317425727844, 0.24186617136001587, 0.228084996342659, 0.2270170897245407], 'high': [0.5251785516738892, 0.23478910326957703, 0.24003230035305023]}",0.7066977024078369,0.2810214161872864,0.3379333317279815,0.8324331045150757,0.9623396396636964,0.681010901927948,0.0038563546258956,0.9999995231628418,64.0,1.96,59,-0.11864405870437622,0.08338464363620365,0.16343390152695916,harp,0.0,,
cornell,harp_select,3,1.0,0.7627118825912476,0.8108108043670654,0.0392175242304801,0.9479327201843262,0.741421103477478,17,2.4781060218811035,geom_gcn,cornell,3,True,183,277,0.1227436823104693,"{'low': [0.29161158204078674, 0.2329888641834259, 0.23874445259571075, 0.23665504157543182], 'high': [0.3981252908706665, 0.2961161136627197, 0.30575862526893616]}",0.583030104637146,0.3709242045879364,0.2182825803756714,0.684570848941803,0.9658427834510804,0.5601946711540222,9.323468361799314e-07,1.0,64.0,1.96,59,-0.03389829397201538,0.08010869823151745,0.1570130485337742,harp,0.0,,
cornell,harp_select,4,1.0,0.7288135886192322,0.7027027010917664,0.0003402633592486,1.5326756238937378,1.2341665029525757,164,7.288239002227783,geom_gcn,cornell,4,True,183,277,0.1227436823104693,"{'low': [0.3212857246398926, 0.22023959457874298, 0.2315589338541031, 0.22691570222377777], 'high': [0.5172918438911438, 0.24449405074119568, 0.2382141649723053]}",0.7870742082595825,0.2354936003684997,0.6788721680641174,0.8823240995407104,0.9735968708992004,0.8299180269241333,0.0089934151619672,1.0,64.0,1.96,59,-0.016949176788330078,0.08262205277317389,0.1619392234354208,harp,0.027027010917663574,,
