dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights
texas,harp_low,5,0.8620689511299133,0.6101694703102112,0.6216216087341309,0.48691076040267944,1.0412771701812744,0.8722563982009888,24,1.409470558166504,geom_gcn,texas,5,True,183,279,0.06093189964157706,"{'low': [0.3326929211616516, 0.24066415429115295, 0.21312874555587769, 0.21351410448551178], 'high': [0.3333333432674408, 0.3333333432674408, 0.3333333432674408]}"
texas,harp_high,5,1.0,0.8983050584793091,0.7567567825317383,0.0004988066502846777,0.5285828113555908,1.265782117843628,63,2.0747342109680176,geom_gcn,texas,5,True,183,279,0.06093189964157706,"{'low': [0.25, 0.25, 0.25, 0.25], 'high': [0.3364935517311096, 0.29086142778396606, 0.3726450502872467]}"
texas,harp_no_signal,5,1.0,0.9322034120559692,0.9459459185600281,0.0006495268899016082,0.3899894654750824,0.2725695073604584,59,2.5852067470550537,geom_gcn,texas,5,True,183,279,0.06093189964157706,"{'low': [0.2922671139240265, 0.3062731921672821, 0.20086635649204254, 0.20059333741664886], 'high': [0.5019811987876892, 0.2537931203842163, 0.2442256212234497]}"
texas,mixhop,6,1.0,0.8813559412956238,0.9189189076423645,0.0006483048782683909,0.6239122152328491,0.3420984148979187,105,1.7105910778045654,geom_gcn,texas,6,True,183,279,0.06093189964157706,
texas,harp,6,1.0,0.8644067645072937,0.9189189076423645,0.01173753198236227,0.523939847946167,0.27531158924102783,23,2.1843421459198,geom_gcn,texas,6,True,183,279,0.06093189964157706,"{'low': [0.28911498188972473, 0.2456975132226944, 0.2325575351715088, 0.2326299399137497], 'high': [0.41334325075149536, 0.2994013726711273, 0.2872554063796997]}"
texas,harp_low,6,0.6091954112052917,0.6271186470985413,0.5405405163764954,1.005703330039978,1.0271475315093994,1.193730115890503,2,1.0879933834075928,geom_gcn,texas,6,True,183,279,0.06093189964157706,"{'low': [0.24602830410003662, 0.25179189443588257, 0.25129038095474243, 0.2508893609046936], 'high': [0.3333333432674408, 0.3333333432674408, 0.3333333432674408]}"
texas,harp_high,6,1.0,0.8813559412956238,0.8918918967247009,0.013388765044510365,0.5807667374610901,0.40936270356178284,15,1.7609472274780273,geom_gcn,texas,6,True,183,279,0.06093189964157706,"{'low': [0.25, 0.25, 0.25, 0.25], 'high': [0.33983176946640015, 0.31627601385116577, 0.34389224648475647]}"
texas,harp_no_signal,6,1.0,0.8644067645072937,0.9189189076423645,0.009640229865908623,0.5305218696594238,0.27344146370887756,24,2.5771098136901855,geom_gcn,texas,6,True,183,279,0.06093189964157706,"{'low': [0.2902405261993408, 0.2456570863723755, 0.23194904625415802, 0.23215341567993164], 'high': [0.41589224338531494, 0.29809948801994324, 0.2860083281993866]}"
texas,mixhop,7,1.0,0.9322034120559692,0.7837837934494019,8.353948942385614e-05,0.3577175736427307,1.0179976224899292,37,1.0993123054504395,geom_gcn,texas,7,True,183,279,0.06093189964157706,
texas,harp,7,1.0,0.8644067645072937,0.7837837934494019,0.020577343180775642,0.5306443572044373,0.5938776135444641,17,1.9888238906860352,geom_gcn,texas,7,True,183,279,0.06093189964157706,"{'low': [0.2839416265487671, 0.2686919867992401, 0.22431448101997375, 0.22305192053318024], 'high': [0.39164090156555176, 0.30164000391960144, 0.3067191243171692]}"
texas,harp_low,7,0.8045976758003235,0.6610169410705566,0.6216216087341309,0.5574131011962891,0.9153638482093811,1.0422710180282593,9,1.3776743412017822,geom_gcn,texas,7,True,183,279,0.06093189964157706,"{'low': [0.28303828835487366, 0.2420896589756012, 0.23767885565757751, 0.23719322681427002], 'high': [0.3333333432674408, 0.3333333432674408, 0.3333333432674408]}"
texas,harp_high,7,1.0,0.8474576473236084,0.7027027010917664,0.02554389275610447,0.6399282813072205,0.9715806841850281,10,1.2381558418273926,geom_gcn,texas,7,True,183,279,0.06093189964157706,"{'low': [0.25, 0.25, 0.25, 0.25], 'high': [0.3336053788661957, 0.3146708905696869, 0.3517237603664398]}"
texas,harp_no_signal,7,1.0,0.8644067645072937,0.7837837934494019,0.01994415745139122,0.5200923085212708,0.5736315846443176,17,1.9005217552185059,geom_gcn,texas,7,True,183,279,0.06093189964157706,"{'low': [0.2836487889289856, 0.2688950300216675, 0.22437505424022675, 0.22308117151260376], 'high': [0.3915635347366333, 0.30174243450164795, 0.30669403076171875]}"
texas,mixhop,8,1.0,0.9152542352676392,0.8108108043670654,0.0008169218781404197,0.28002840280532837,1.3986421823501587,59,1.4929277896881104,geom_gcn,texas,8,True,183,279,0.06093189964157706,
texas,harp,8,1.0,0.9322034120559692,0.8648648858070374,0.0005132757360115647,0.28412413597106934,0.4565184414386749,103,4.031451940536499,geom_gcn,texas,8,True,183,279,0.06093189964157706,"{'low': [0.30659472942352295, 0.2523346543312073, 0.22188153862953186, 0.2191891074180603], 'high': [0.49134111404418945, 0.2553026080131531, 0.2533562183380127]}"
texas,harp_low,8,1.0,0.694915235042572,0.7027027010917664,9.931717795552686e-05,1.0588701963424683,1.3372538089752197,250,4.863459825515747,geom_gcn,texas,8,True,183,279,0.06093189964157706,"{'low': [0.5413458943367004, 0.13717301189899445, 0.1593325287103653, 0.16214849054813385], 'high': [0.3333333432674408, 0.3333333432674408, 0.3333333432674408]}"
