best_epoch,dataset,elapsed_sec,meta_dataset_type,meta_edge_homophily,meta_make_undirected,meta_num_edges,meta_num_nodes,meta_source,meta_split_id,model,seed,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
200,amazon-ratings,55.373634576797485,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,2,linkx,2,0.4608851969242096,2.1915218830108643,0.9374489784240724,0.2248332798480987,0.4652947783470154,2.1545774936676025
223,amazon-ratings,59.05746126174927,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,3,linkx,3,0.4708476364612579,2.2324557304382324,0.9346725344657898,0.2233320772647857,0.4726441204547882,2.1812193393707275
71,amazon-ratings,30.026188373565677,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,4,linkx,4,0.4739506840705871,1.4276158809661863,0.800751268863678,0.7089204788208008,0.4746039509773254,1.423634052276611
146,amazon-ratings,50.309982776641846,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,5,linkx,5,0.4672546088695526,1.8937146663665767,0.9236485362052916,0.2866787612438202,0.4754205346107483,1.8755974769592283
146,amazon-ratings,48.86697721481323,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,6,linkx,6,0.4621917307376861,1.882474422454834,0.9054384827613832,0.33350870013237,0.473624050617218,1.8666423559188845
84,amazon-ratings,30.302205324172974,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,7,linkx,7,0.4648048281669616,1.4772850275039673,0.8183896541595459,0.5947487950325012,0.4711742699146271,1.5057286024093628
158,amazon-ratings,51.33240365982056,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,8,linkx,8,0.4679078757762909,2.1054067611694336,0.9209538102149964,0.29146608710289,0.472317487001419,2.1282877922058105
76,amazon-ratings,30.324646472930908,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,9,linkx,9,0.4460231959819793,1.596627712249756,0.7493875622749329,0.7541745901107788,0.4585987329483032,1.599866271018982
223,amazon-ratings,49.55999827384949,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,0,mixhop,0,0.4381839036941528,1.3080987930297852,0.5142087340354919,1.1983213424682615,0.4344275593757629,1.3156070709228516
249,amazon-ratings,34.85777926445007,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,1,mixhop,1,0.4407970011234283,1.3080378770828247,0.5335620045661926,1.1808383464813232,0.4445533156394958,1.3108447790145874
246,amazon-ratings,50.71100211143494,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,2,mixhop,2,0.4491262435913086,1.308927297592163,0.5311938524246216,1.1893949508666992,0.4479830265045166,1.3001987934112549
244,amazon-ratings,50.99685096740723,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,3,mixhop,3,0.4352441728115082,1.3109130859375,0.5359300971031189,1.1756038665771484,0.4399803876876831,1.3073768615722656
224,amazon-ratings,50.34218144416809,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,4,mixhop,4,0.4380205869674682,1.30335795879364,0.5399314165115356,1.1772804260253906,0.4514127075672149,1.3045799732208252
237,amazon-ratings,52.61069250106812,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,5,mixhop,5,0.4399803876876831,1.3073277473449707,0.522292971611023,1.1926472187042236,0.4514127075672149,1.3067337274551392
226,amazon-ratings,54.214935302734375,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,6,mixhop,6,0.4430834650993347,1.307315468788147,0.5333986878395081,1.1778219938278198,0.4520659744739532,1.3015152215957642
249,amazon-ratings,47.276228189468384,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,7,mixhop,7,0.4292013645172119,1.3104254007339478,0.5378082394599915,1.1743253469467163,0.4450432658195495,1.3123929500579834
244,amazon-ratings,52.26768755912781,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,8,mixhop,8,0.4399803876876831,1.3089579343795776,0.543197751045227,1.1693472862243652,0.4336109757423401,1.313887596130371
222,amazon-ratings,52.15505909919739,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,9,mixhop,9,0.4341009259223938,1.3101580142974854,0.5267025828361511,1.1916687488555908,0.4376939535140991,1.312513828277588
209,amazon-ratings,16.885440349578857,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,0,mlp,0,0.3882083892822265,1.375537991523743,0.4176057577133178,1.3454203605651855,0.3949044644832611,1.3762612342834473
97,amazon-ratings,10.13813018798828,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,1,mlp,1,0.3857586085796356,1.3819066286087036,0.4062550961971283,1.361679196357727,0.3860852420330047,1.38158118724823
173,amazon-ratings,23.93515396118164,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,2,mlp,2,0.3898415863513946,1.380764126777649,0.4065000712871551,1.357117772102356,0.3906581699848175,1.376777410507202
182,amazon-ratings,23.64587783813477,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,3,mlp,3,0.3927813172340393,1.379616618156433,0.413849413394928,1.354633331298828,0.3911481201648712,1.377003192901611
224,amazon-ratings,25.059210538864136,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,4,mlp,4,0.3867385387420654,1.376672863960266,0.4109096825122833,1.3482859134674072,0.3970276117324829,1.3750388622283936
209,amazon-ratings,25.158482551574707,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,5,mlp,5,0.3893516361713409,1.3787331581115725,0.4033970236778259,1.354805588722229,0.3967009782791137,1.376228928565979
218,amazon-ratings,29.15220260620117,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,6,mlp,6,0.3873918056488037,1.3815219402313232,0.40560182929039,1.352686882019043,0.3916381001472473,1.3762582540512085
